2026-03-19 08:40:44 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:46 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:47 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:48 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:49 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:50 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:51 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:53 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:54 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:55 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:56 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:57 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:06 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:07 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:08 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:09 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:10 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:11 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:12 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:15 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:16 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:17 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:18 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:20 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:21 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:23 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:25 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:26 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:41:27 | INFO | Application Layer  | rx: Satellite Data 1
