2026-03-19 10:00:12 | INFO | Idle | Entered Idle mode
2026-03-19 10:00:12 | INFO | Idle | starting activity timer for 180
2026-03-19 10:00:12 | INFO | Idle | Entered Idle mode
2026-03-19 10:00:12 | INFO | Idle | starting activity timer for 180
2026-03-19 10:00:52 | INFO | Idle | Entered Idle mode
2026-03-19 10:00:52 | INFO | Idle | Entered Idle mode
2026-03-19 10:00:52 | INFO | Idle | starting activity timer for 180
2026-03-19 10:00:52 | INFO | Idle | starting activity timer for 180
2026-03-19 10:00:58 | INFO | Idle | Entered Idle mode
2026-03-19 10:00:58 | INFO | Idle | starting activity timer for 180
2026-03-19 10:00:58 | INFO | Idle | Entered Idle mode
2026-03-19 10:00:58 | INFO | Idle | starting activity timer for 180
2026-03-19 10:01:01 | ERROR | Idle | Failed to frame SYN: 'GroundStationIdle' object has no attribute 'frame_syn'
2026-03-19 10:01:46 | INFO | Idle | Entered Idle mode
2026-03-19 10:01:46 | INFO | Idle | Entered Idle mode
2026-03-19 10:01:46 | INFO | Idle | starting activity timer for 180
2026-03-19 10:01:46 | INFO | Idle | starting activity timer for 180
2026-03-19 10:02:21 | INFO | Idle | Entered Idle mode
2026-03-19 10:02:21 | INFO | Idle | starting activity timer for 180
2026-03-19 10:02:21 | INFO | Idle | Entered Idle mode
2026-03-19 10:02:21 | INFO | Idle | starting activity timer for 180
2026-03-19 10:02:57 | INFO | Idle | Entered Idle mode
2026-03-19 10:02:57 | INFO | Idle | starting activity timer for 180
2026-03-19 10:02:57 | INFO | Idle | Entered Idle mode
2026-03-19 10:02:57 | INFO | Idle | starting activity timer for 180
2026-03-19 10:03:35 | INFO | Idle | Entered Idle mode
2026-03-19 10:03:35 | INFO | Idle | Entered Idle mode
2026-03-19 10:03:35 | INFO | Idle | starting activity timer for 180
2026-03-19 10:03:35 | INFO | Idle | starting activity timer for 180
2026-03-19 10:05:03 | INFO | Idle | Entered Idle mode
2026-03-19 10:05:03 | INFO | Idle | Entered Idle mode
2026-03-19 10:05:03 | INFO | Idle | starting activity timer for 180
2026-03-19 10:05:03 | INFO | Idle | starting activity timer for 180
2026-03-19 10:06:18 | INFO | Idle | Entered Idle mode
2026-03-19 10:06:18 | INFO | Idle | starting activity timer for 180
2026-03-19 10:06:18 | INFO | Idle | Entered Idle mode
2026-03-19 10:06:18 | INFO | Idle | starting activity timer for 180
2026-03-19 10:06:28 | INFO | Idle | Entered Idle mode
2026-03-19 10:06:28 | INFO | Idle | starting activity timer for 180
2026-03-19 10:06:29 | INFO | Idle | Entered Idle mode
2026-03-19 10:06:29 | INFO | Idle | starting activity timer for 180
2026-03-19 10:09:18 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 10:09:18 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 10:09:29 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 10:09:29 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 10:24:55 | INFO | Idle | Entered Idle mode
2026-03-19 10:24:55 | INFO | Idle | starting activity timer for 180
2026-03-19 10:24:55 | INFO | Idle | Entered Idle mode
2026-03-19 10:24:55 | INFO | Idle | starting activity timer for 180
2026-03-19 10:25:24 | ERROR | Idle | Failed to frame SYN: 'GroundStationIdle' object has no attribute 'frame_syn'
2026-03-19 10:25:37 | INFO | Idle | Entered Idle mode
2026-03-19 10:25:37 | INFO | Idle | starting activity timer for 180
2026-03-19 10:25:37 | INFO | Idle | Entered Idle mode
2026-03-19 10:25:37 | INFO | Idle | starting activity timer for 180
2026-03-19 10:26:52 | INFO | Idle | Entered Idle mode
2026-03-19 10:26:52 | INFO | Idle | starting activity timer for 180
2026-03-19 10:27:55 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 10:28:37 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 10:28:37 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 10:29:52 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
